,ID,CT_CS,CT_Temp,CT_RT,log_CT_CS,LMP,LMP_Model,Prediction,diff
247,9Cr-029,240.0,550.0,824.3,5.480638923341991,19.91958252391344,19.45220267692477,1928.14963042101,-1103.84963042101
248,9Cr-029,220.0,550.0,4042.7,5.393627546352362,20.223666791661486,20.326776114708668,3351.6115475356714,691.0884524643284
249,9Cr-029,200.0,550.0,15761.8,5.298317366548036,20.556753420530573,21.075148192747626,6141.403761135598,9620.396238864401
250,9Cr-029,180.0,550.0,39888.6,5.19295685089021,20.924963605931787,21.585823895471695,11995.437941780137,27893.16205821986
251,9Cr-029,160.0,575.0,10578.8,5.075173815233827,21.33658757270319,21.803835530957503,4693.820487168814,5884.979512831185
252,9Cr-029,150.0,575.0,14900.1,5.0106352940962555,21.562134502548915,22.000782188344793,6948.337232454675,7951.762767545325
253,9Cr-029,140.0,575.0,26858.9,4.941642422609304,21.803248337679292,22.339589043220954,10568.002383359983,16290.897616640019
254,9Cr-029,130.0,575.0,38547.8,4.867534450455582,22.06223824481917,22.54733757389268,16580.843493266017,21966.956506733986
255,9Cr-029,160.0,600.0,1068.3,5.075173815233827,21.33658757270319,21.376158341042977,1000.117326285584,68.18267371441596
256,9Cr-029,140.0,600.0,2955.9,4.941642422609304,21.803248337679292,21.986799084869798,2176.8638955540455,779.0361044459546
257,9Cr-029,120.0,600.0,11122.7,4.787491742782046,22.341968654721533,22.781910020124325,5342.813869818978,5779.886130181023
258,9Cr-029,110.0,600.0,18502.4,4.700480365792417,22.64605292246958,23.08725745310106,8868.97799266563,9633.422007334371
259,9Cr-029,100.0,600.0,30157.0,4.605170185988092,22.979139551338662,23.380367422278944,15451.467002627507,14705.532997372493
260,9Cr-029,80.0,600.0,58637.0,4.382026634673881,23.75897370351128,23.77933671905217,56680.347029712655,1956.652970287345
261,9Cr-029,140.0,625.0,220.9,4.941642422609304,21.803248337679292,21.281760499924502,508.8181333485463,-287.91813334854635
262,9Cr-029,120.0,625.0,1080.5,4.787491742782046,22.341968654721533,22.27392866587504,1204.7690383097497,-124.2690383097497
263,9Cr-029,100.0,625.0,4640.1,4.605170185988092,22.979139551338662,23.18474867885333,3339.3003657249974,1300.799634275003
264,9Cr-029,90.0,625.0,9380.8,4.499809670330265,23.34734973673988,23.62470438478942,6018.858421440451,3361.9415785595484
265,9Cr-029,110.0,650.0,220.5,4.700480365792417,22.64605292246958,22.131852849821016,486.3724700910861,-265.8724700910861
266,9Cr-029,100.0,650.0,470.0,4.605170185988092,22.979139551338662,22.623795599702202,811.9312728414444,-341.9312728414444
267,9Cr-029,80.0,650.0,2536.7,4.382026634673881,23.75897370351128,23.71962189490327,2695.019035862804,-158.31903586280396
268,9Cr-029,70.0,650.0,6920.3,4.248495242049359,24.22563446848738,24.371958708322097,5525.340675134524,1394.9593248654764
269,9Cr-029,60.0,700.0,359.0,4.0943445622221,24.764354785529626,24.175500354558988,832.5913987866637,-473.5913987866637
270,9Cr-029,50.0,700.0,920.6,3.912023005428146,25.401525682146755,24.83469262458539,2068.9306160888573,-1148.3306160888574
271,9Cr-029,40.0,700.0,3003.8,3.6888794541139363,26.181359834319373,25.662518085557227,6303.34630572473,-3299.54630572473
272,9Cr-030,400.0,450.0,309.5,5.991464547107982,18.13436728972248,15.961701142676796,38681.04963442232,-38371.54963442232
273,9Cr-030,390.0,450.0,7711.2,5.966146739123692,18.22284706522133,17.408663094632097,47085.80285064246,-39374.60285064246
274,9Cr-030,370.0,450.0,19990.1,5.91350300563827,18.406824513944454,17.837316594713137,70867.38438017009,-50877.28438017009
275,9Cr-030,360.0,450.0,30343.8,5.886104031450156,18.502577475123694,18.025126372736878,87671.30606689164,-57327.50606689164
276,9Cr-030,300.0,500.0,631.8,5.703782474656201,19.139748371740826,18.092030889984773,5135.887042679025,-4504.087042679025
277,9Cr-030,280.0,500.0,7691.3,5.634789603169249,19.380862206871203,19.341666995264504,8318.485800674065,-627.1858006740649
278,9Cr-030,270.0,500.0,5857.0,5.598421958998375,19.50795855714204,19.205440848845672,10726.024059942829,-4869.024059942829
279,9Cr-030,260.0,500.0,7979.5,5.560681631015528,19.639852114011077,19.360059961720403,13963.685369428884,-5984.185369428884
