,Fe,C,Cr,Mn,Si,Ni,Co,Mo,W,Nb,Al,P,Cu,Ti,Ta,V,B,N,O,S,Zr,Homo,Weighted_AN,log_CT_CS
9Cr-058_24,0.30351274463662675,0.0,0.0,0.0,0.0,0.0,0.0,17.646534573252833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.576149785518351,-24.274245213197773
9Cr-074_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.636530022372585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.147670991524473,4.362297830682298
9Cr-045_12,2.047869821928766,0.0,0.0,0.0,0.0,0.0,0.0,-3.358760653324338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1476709915236745,-21.037087796327597
9Cr-035_14,2.047869821928766,0.0,0.0,0.0,0.0,0.0,0.0,2.5996152990718264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.639422592939478,-0.4497952337748275
9Cr-067_13,4.133886007265952,0.0,0.0,0.0,0.0,0.0,0.0,4.4979966563173726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2564815651198935,-37.11607942384917
9Cr-027_19,-1.217768508249218,0.0,0.0,0.0,0.0,0.0,0.0,-0.8483227180650875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6851736881695736,-28.600466121863175
9Cr-026_24,-1.217768508249218,0.0,0.0,0.0,0.0,0.0,0.0,-0.8483227180650875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3141656379079918,7.88811894218064
9Cr-060_20,2.047869821928766,0.0,0.0,0.0,0.0,0.0,0.0,2.5996152990718264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.639422592939478,-0.4497952337748275
9Cr-068_15,4.133886007265952,0.0,0.0,0.0,0.0,0.0,0.0,4.4979966563173726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2564815651198935,-37.11607942384917
9Cr-025_11,-1.217768508249218,0.0,0.0,0.0,0.0,0.0,0.0,-0.8483227180650875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3141656379079918,7.88811894218064
9Cr-065_15,-1.217768508249218,0.0,0.0,0.0,0.0,0.0,0.0,-23.699480178435344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4434549527106713,-29.360470625627485
9Cr-025_33,2.6685164401589394,0.0,0.0,0.0,0.0,0.0,0.0,-23.302334288094503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4434549527106713,9.250432273055663
9Cr-078_18,2.4515188893338724,0.0,0.0,0.0,0.0,0.0,0.0,0.20912326763222533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8577550992704627,-37.61422016922071
9Cr-024_33,2.4515188893338724,0.0,0.0,0.0,0.0,0.0,0.0,2.7401077990520664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9226315225256725,-0.11959145195935186
9Cr-068_3,2.047869821928766,0.0,0.0,0.0,0.0,0.0,0.0,2.5996152990718264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.639422592939478,-0.4497952337748275
9Cr-045_5,-1.217768508249218,0.0,0.0,0.0,0.0,0.0,0.0,-0.8483227180650875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3141656379079918,7.88811894218064
9Cr-035_46,2.6685164401589394,0.0,0.0,0.0,0.0,0.0,0.0,-23.302334288094503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4434549527106713,9.250432273055663
